CYS SG:CYS SG:2.4:Ponte Dissulfeto
SER OG:GLU OE1:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
SER OG:GLU OE2:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
THR OG1:ASP OD1:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
THR OG1:ASP OD2:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
THR OG1:GLU OE1:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
THR OG1:GLU OE2:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
TYR OH:ASP OD1:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
TYR OH:ASP OD2:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
TYR OH:GLU OE1:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
TYR OH:GLU OE2:3.2:Ligação de Hidrogênio (lateral quase doador - lateral negativo)
ASP OD1:LYS NZ:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD1:HIS NE1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD1:HIS NE2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD1:ARG NH1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD1:ARG NH2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD2:LYS NZ:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD2:HIS NE1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD2:HIS NE2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD2:ARG NH1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
ASP OD2:ARG NH2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE1:LYS NZ:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE1:HIS NE1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE1:HIS NE2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE1:ARG NH1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE1:ARG NH2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral positivo)
GLU OE2:LYS NZ:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE2:HIS NE1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE2:HIS NE2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE2:ARG NH1:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
GLU OE2:ARG NH2:6.0:Interação Eletrostática Atrativa (lateral negativo - lateral Positivo)
